airport_id,airport_name,city,state,latitude,longitude
BQN,Rafael Hern��ndez Airport,Aguadilla,PR,18.49486,-67.12944
BRD,Brainerd Lakes Regional Airport,Brainerd,MN,46.39786,-94.13723
BRO,Brownsville/South Padre Island International Airport,Brownsville,TX,25.90683,-97.42586
BRW,Wiley Post-Will Rogers Memorial Airport,Barrow,AK,71.28545,-156.766
BTM,Bert Mooney Airport,Butte,MT,45.9548,-112.49746
BTR,Baton Rouge Metropolitan Airport,Baton Rouge,LA,30.53316,-91.14963
BTV,Burlington International Airport,Burlington,VT,44.473,-73.15031
BUF,Buffalo Niagara International Airport,Buffalo,NY,42.94052,-78.73217
BUR,Bob Hope Airportξ(Hollywood Burbank Airport),Burbank,CA,34.20062,-118.3585
BWI,Baltimore-Washington International Airport,Baltimore,MD,39.1754,-76.6682
BZN,Bozeman Yellowstone International Airportξ(Gallatin Field Airport),Bozeman,MT,45.7769,-111.15301
CAE,Columbia Metropolitan Airport,Columbia,SC,33.93884,-81.11954
CAK,Akron-Canton Regional Airport,Akron,OH,40.91631,-81.44247
CDC,Cedar City Regional Airport,Cedar City,UT,37.70097,-113.09858
CDV,Merle K. (Mudhole) Smith Airport,Cordova,AK,60.49183,-145.47765
CEC,Del Norte County Airportξ(Jack McNamara Field),Crescent City,CA,41.78016,-124.23653
CHA,Chattanooga Metropolitan Airportξ(Lovell Field),Chattanooga,TN,35.03527,-85.20379
CHO,Charlottesville-Albemarle Airport,Charlottesville,VA,38.13864,-78.45286
CHS,Charleston International Airport/Charleston AFB,Charleston,SC,32.89865,-80.04051
CID,The Eastern Iowa Airport,Cedar Rapids,IA,41.88459,-91.71087
CIU,Chippewa County International Airport,Sault Ste. Marie,MI,46.25075,-84.47239
CLD,McClellan-Palomar Airport,San Diego,CA,33.12723,-117.27873
CLE,Cleveland Hopkins International Airport,Cleveland,OH,41.41089,-81.8494
CLL,Easterwood Airport,College Station,TX,30.58859,-96.36382
CLT,Charlotte Douglas International Airport,Charlotte,NC,35.21401,-80.94313
CMH,Port Columbus International Airport,Columbus,OH,39.99799,-82.89188
CMI,University of Illinois - Willard Airport,Champaign/Urbana,IL,40.03925,-88.27806
CMX,Houghton County Memorial Airport,Hancock,MI,47.16842,-88.48906
CNY,Canyonlands Field,Moab,UT,38.75496,-109.75484
COD,Yellowstone Regional Airport,Cody,WY,44.52019,-109.0238
COS,City of Colorado Springs Municipal Airport,Colorado Springs,CO,38.80581,-104.70025
COU,Columbia Regional Airport,Columbia,MO,38.81809,-92.21963
CPR,Natrona County International Airport,Casper,WY,42.90836,-106.46447
CRP,Corpus Christi International Airport,Corpus Christi,TX,27.77036,-97.50122
CRW,Yeager Airport,Charleston,WV,38.37315,-81.59319
CSG,Columbus Metropolitan Airport,Columbus,GA,32.51633,-84.93886
CVG,Cincinnati/Northern Kentucky International Airport,Covington,KY,39.04614,-84.66217
CWA,Central Wisconsin Airport,Mosinee,WI,44.77762,-89.66678
DAB,Daytona Beach International Airport,Daytona Beach,FL,29.17992,-81.05806
DAL,Dallas Love Field,Dallas,TX,32.84711,-96.85177
DAY,James M. Cox Dayton International Airport,Dayton,OH,39.90238,-84.21938
DBQ,Dubuque Regional Airport,Dubuque,IA,42.40296,-90.70917
DCA,Ronald Reagan Washington National Airport,Arlington,VA,38.85208,-77.03772
DEN,Denver International Airport,Denver,CO,39.85841,-104.667
DFW,Dallas/Fort Worth International Airport,Dallas-Fort Worth,TX,32.89595,-97.0372
DHN,Dothan Regional Airport,Dothan,AL,31.32134,-85.44963
DIK,Dickinson Theodore Roosevelt Regional Airport,Dickinson,ND,46.79739,-102.80195
DLG,Dillingham Airport,Dillingham,AK,59.04541,-158.50334
DLH,Duluth International Airport,Duluth,MN,46.84209,-92.19365
DRO,Durango-La Plata County Airport,Durango,CO,37.15152,-107.75377
DSM,Des Moines International Airport,Des Moines,IA,41.53493,-93.66068
DTW,Detroit Metropolitan Airport,Detroit,MI,42.21206,-83.34884
DVL,Devils Lake Regional Airport,Devils Lake,ND,48.11425,-98.90878
EAU,Chippewa Valley Regional Airport,Eau Claire,WI,44.86526,-91.48507
ECP,Northwest Florida Beaches International Airport,Panama City,FL,,
EGE,Eagle County Regional Airport,Eagle,CO,39.64257,-106.9177
EKO,Elko Regional Airport,Elko,NV,40.82493,-115.7917
ELM,Elmira/Corning Regional Airport,Elmira,NY,42.15991,-76.89144
ELP,El Paso International Airport,El Paso,TX,31.80667,-106.37781
ERI,Erie International Airport,Erie,PA,42.08202,-80.17622
ESC,Delta County Airport,Escanaba,MI,45.72267,-87.09373
EUG,Eugene Airportξ(Mahlon Sweet Field),Eugene,OR,44.12326,-123.21869
EVV,Evansville Regional Airport,Evansville,IN,38.03799,-87.53063
EWN,Coastal Carolina Regional Airportξ(Craven County Regional),New Bern,NC,35.07297,-77.04294
EWR,Newark Liberty International Airport,Newark,NJ,40.6925,-74.16866
EYW,Key West International Airport,Key West,FL,24.55611,-81.75956
FAI,Fairbanks International Airport,Fairbanks,AK,64.81368,-147.85967
FAR,Hector International Airport,Fargo,ND,46.91935,-96.81499
FAT,Fresno Yosemite International Airport,Fresno,CA,36.77619,-119.71814
FAY,Fayetteville Regional Airport,Fayetteville,NC,34.99147,-78.88
FCA,Glacier Park International Airport,Kalispell,MT,48.3114,-114.25507
FLG,Flagstaff Pulliam Airport,Flagstaff,AZ,35.13845,-111.67122
FLL,Fort Lauderdale-Hollywood International Airport,Ft. Lauderdale,FL,26.07258,-80.15275
FNT,Bishop International Airport,Flint,MI,42.9655,-83.74346
FSD,Sioux Falls Regional Airport,Sioux Falls,SD,43.58135,-96.7417
FSM,Fort Smith Regional Airport,Fort Smith,AR,35.33659,-94.36744
FWA,Fort Wayne International Airport,Fort Wayne,IN,40.97847,-85.19515
GCC,Gillette-Campbell County Airport,Gillette,WY,44.3489,-105.53936
GCK,Garden City Regional Airport,Garden City,KS,37.92752,-100.72441
GEG,Spokane International Airport,Spokane,WA,47.61986,-117.53384
GFK,Grand Forks International Airport,Grand Forks,ND,47.94926,-97.17611
GGG,East Texas Regional Airport,Longview,TX,32.38486,-94.71171
GJT,Grand Junction Regional Airportξ(Walker Field),Grand Junction,CO,39.12241,-108.52673
GNV,Gainesville Regional Airport,Gainesville,FL,29.69006,-82.27178
GPT,Gulfport-Biloxi International Airport,Gulfport-Biloxi,MS,30.40728,-89.07009
GRB,Green Bay-Austin Straubel International Airport,Green Bay,WI,44.48507,-88.12959
GRI,Central Nebraska Regional Airport,Grand Island,NE,40.96747,-98.30861
GRK,Killeen-Fort Hood Regional Airport,Killeen,TX,31.0649,-97.8278
GRR,Gerald R. Ford International Airport,Grand Rapids,MI,42.88082,-85.52277
GSO,Piedmont Triad International Airport,Greensboro,NC,36.09775,-79.9373
GSP,Greenville-Spartanburg International Airport,Greer,SC,34.89567,-82.21886
GST,Gustavus Airport,Gustavus,AK,58.42438,-135.70738
GTF,Great Falls International Airport,Great Falls,MT,47.482,-111.37069
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,33.45033,-88.59137
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,38.53396,-106.93318
GUM,Guam International Airport,Agana,GU,13.48345,-144.79598
HDN,Yampa Valley Airportξ(Yampa Valley Regional),Hayden,CO,40.48118,-107.21766
HIB,Range Regional Airportξ(Chisholm-Hibbing Airport),Hibbing,MN,47.3866,-92.83899
HLN,Helena Regional Airport,Helena,MT,46.60682,-111.98275
HNL,Honolulu International Airport,Honolulu,HI,21.31869,-157.92241
HOB,Lea County Regional Airport,Hobbs,NM,32.68753,-103.21703
HOU,William P. Hobby Airport,Houston,TX,29.64542,-95.27889
HPN,Westchester County Airport,White Plains,NY,41.06696,-73.70757
HRL,Valley International Airport,Harlingen,TX,26.22851,-97.65439
HSV,Huntsville International Airport,Huntsville,AL,34.64045,-86.77311
HYA,Barnstable Municipal Airport,Hyannis,MA,41.66934,-70.28036
HYS,Hays Regional Airport,Hays,KS,38.84494,-99.27403
IAD,Washington Dulles International Airport,Chantilly,VA,38.94453,-77.45581
IAG,Niagara Falls International Airport,Niagara Falls,NY,43.10726,-78.94538
IAH,George Bush Intercontinental Airport,Houston,TX,29.98047,-95.33972
ICT,Wichita Dwight D. Eisenhower National Airportξ(Wichita Mid-Continent Airport),Wichita,KS,37.64996,-97.43305
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,43.51456,-112.07017
ILG,Wilmington Airport,Wilmington,DE,39.67872,-75.60653
ILM,Wilmington International Airport,Wilmington,NC,34.27061,-77.90256
IMT,Ford Airport,Iron Mountain/Kingsford,MI,45.81835,-88.11454
IND,Indianapolis International Airport,Indianapolis,IN,39.71733,-86.29438
INL,Falls International Airport,International Falls,MN,48.56619,-93.40307
ISN,Sloulin Field International Airport,Williston,ND,48.17794,-103.64235
ISP,Long Island MacArthur Airport,Islip,NY,40.79524,-73.10021
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,42.49103,-76.45844
ITO,Hilo International Airport,Hilo,HI,19.72026,-155.04847
JAC,Jackson Hole Airport,Jackson,WY,43.60732,-110.73774
JAN,Jackson-Evers International Airport,Jackson,MS,32.31117,-90.07589
JAX,Jacksonville International Airport,Jacksonville,FL,30.49406,-81.68786
JFK,John F. Kennedy International Airportξ(New York International Airport),New York,NY,40.63975,-73.77893
JLN,Joplin Regional Airport,Joplin,MO,37.15181,-94.49827
JMS,Jamestown Regional Airport,Jamestown,ND,46.92972,-98.6782
JNU,Juneau International Airport,Juneau,AK,58.35496,-134.57628
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,19.73877,-156.04563
KTN,Ketchikan International Airport,Ketchikan,AK,55.35557,-131.71374
LAN,Capital Region International Airportξ( Lansing Capital City),Lansing,MI,42.7787,-84.58736
LAR,Laramie Regional Airport,Laramie,WY,41.31205,-105.67499
LAS,McCarran International Airport,Las Vegas,NV,36.08036,-115.15233
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,34.56771,-98.41664
LAX,Los Angeles International Airport,Los Angeles,CA,33.94254,-118.40807
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,33.66364,-101.82278
LBE,Arnold Palmer Regional Airport,Latrobe,PA,40.27594,-79.4048
LCH,Lake Charles Regional Airport,Lake Charles,LA,30.1261,-93.2234
LEX,Blue Grass Airport,Lexington,KY,38.03697,-84.60539
LFT,Lafayette Regional Airport,Lafayette,LA,30.20528,-91.98766
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,40.77724,-73.87261
LGB,Long Beach Airportξ(Daugherty Field),Long Beach,CA,33.81772,-118.15161
LIH,Lihue Airport,Lihue,HI,21.97598,-159.33896
LIT,Bill and Hillary Clinton National Airportξ(Adams Field),Little Rock,AR,34.7294,-92.22425
LNK,Lincoln Airportξ(Lincoln Municipal),Lincoln,NE,40.85097,-96.75925
LRD,Laredo International Airport,Laredo,TX,27.54374,-99.46154
LSE,La Crosse Regional Airport,La Crosse,WI,43.87938,-91.25654
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,46.3745,-117.01539
MAF,Midland International Airport,Midland,TX,31.94253,-102.20191
MBS,MBS International Airport,Saginaw,MI,43.53291,-84.07965
MCI,Kansas City International Airport,Kansas City,MO,39.29761,-94.71391
MCO,Orlando International Airport,Orlando,FL,28.42889,-81.31603
MDT,Harrisburg International Airport,Harrisburg,PA,40.1935,-76.7634
MDW,Chicago Midway International Airport,Chicago,IL,41.78598,-87.75242
MEI,Meridian Regional Airport,Meridian,MS,32.33313,-88.75121
MEM,Memphis International Airport,Memphis,TN,35.04242,-89.97667
MFE,McAllen-Miller International Airportξ(McAllen Miller International),McAllen,TX,26.17583,-98.23861
MFR,Rogue Valley International Airport,Medford,OR,42.37423,-122.8735
MGM,Montgomery Regional Airport,Montgomery,AL,32.30064,-86.39398
MHK,Manhattan Regional Airport,Manhattan,KS,39.14097,-96.67083
MHT,Manchester-Boston Regional Airport,Manchester,NH,42.93452,-71.43706
MIA,Miami International Airport,Miami,FL,25.79325,-80.29056
MKE,General Mitchell International Airport,Milwaukee,WI,42.94722,-87.89658
MKG,Muskegon County Airport,Muskegon,MI,43.16949,-86.23822
MLB,Melbourne International Airport,Melbourne,FL,28.10275,-80.64581
MLI,Quad City International Airport,Moline,IL,41.44853,-90.50754
MLU,Monroe Regional Airport,Monroe,LA,32.51087,-92.03769
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,37.62405,-118.83777
MOB,Mobile Regional Airport,Mobile,AL,30.69142,-88.24283
MOT,Minot International Airport,Minot,ND,48.25938,-101.28033
MQT,Sawyer International Airport,Marquette,MI,46.35364,-87.39536
MRY,Monterey Regional Airportξ(Monterey Peninsula Airport),Monterey,CA,36.58698,-121.84295
MSN,Dane County Regional Airport,Madison,WI,43.13986,-89.33751
MSO,Missoula International Airport,Missoula,MT,46.91631,-114.09056
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,44.88055,-93.21692
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,29.99339,-90.25803
MTJ,Montrose Regional Airport,Montrose,CO,38.50887,-107.89383
MVY,Martha's Vineyard Airport,Marthas Vineyard,MA,41.39303,-70.61433
MYR,Myrtle Beach International Airport,Myrtle Beach,SC,33.67975,-78.92833
OAJ,Albert J. Ellis Airport,Jacksonville,NC,34.82916,-77.61214
OAK,Oakland International Airport,Oakland,CA,37.72129,-122.22072
OGG,Kahului Airport,Kahului,HI,20.89865,-156.43046
OKC,Will Rogers World Airport,Oklahoma City,OK,35.39309,-97.60073
OMA,Eppley Airfield,Omaha,NE,41.30252,-95.89417
OME,Nome Airport,Nome,AK,64.5122,-165.44525
ONT,Ontario International Airport,Ontario,CA,34.056,-117.60119
ORD,Chicago O'Hare International Airport,Chicago,IL,41.9796,-87.90446
ORF,Norfolk International Airport,Norfolk,VA,36.89461,-76.20122
ORH,Worcester Regional Airport,Worcester,MA,42.26734,-71.87571
OTH,Southwest Oregon Regional Airportξ(North Bend Municipal),North Bend,OR,43.41714,-124.24603
OTZ,Ralph Wien Memorial Airport,Kotzebue,AK,66.88468,-162.59855
PAH,Barkley Regional Airport,Paducah,KY,37.06083,-88.77375
PBG,Plattsburgh International Airport,Plattsburgh,NY,,
PBI,Palm Beach International Airport,West Palm Beach,FL,26.68316,-80.09559
PDX,Portland International Airport,Portland,OR,45.58872,-122.5975
PHF,Newport News/Williamsburg International Airport,Newport News,VA,37.1319,-76.49299
PHL,Philadelphia International Airport,Philadelphia,PA,39.87195,-75.24114
PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,33.43417,-112.00806
PIA,General Wayne A. Downing Peoria International Airport,Peoria,IL,40.66424,-89.69331
PIB,Hattiesburg-Laurel Regional Airport,Hattiesburg-Laurel,MS,31.46715,-89.33706
PIH,Pocatello Regional Airport,Pocatello,ID,42.91131,-112.59586
PIT,Pittsburgh International Airport,Pittsburgh,PA,40.49147,-80.23287
PLN,Pellston Regional Airport of Emmet County,Pellston,MI,45.57093,-84.79672
PNS,Pensacola International Airportξ(Pensacola Gulf Coast Regional Airport),Pensacola,FL,30.47331,-87.18744
PPG,Pago Pago International Airport (Tafuna Airport),Pago Pago,AS,14.33102,-170.71053
PSC,Tri-Cities Airport,Pasco,WA,46.26468,-119.11903
PSE,Mercedita Airport,Ponce,PR,18.0083,-66.56301
PSG,Petersburg James A. Johnson Airport,Petersburg,AK,56.80165,-132.94528
PSP,Palm Springs International Airport,Palm Springs,CA,33.82922,-116.50625
PUB,Pueblo Memorial Airport,Pueblo,CO,38.28909,-104.49657
PVD,Theodore Francis Green State Airport,Providence,RI,41.724,-71.42822
PWM,Portland International Jetport,Portland,ME,43.64617,-70.30875
RAP,Rapid City Regional Airport,Rapid City,SD,44.04532,-103.05737
RDD,Redding Municipal Airport,Redding,CA,40.50898,-122.2934
RDM,Redmond Municipal Airportξ(Roberts Field),Redmond,OR,44.25407,-121.14996
RDU,Raleigh-Durham International Airport,Raleigh,NC,35.87764,-78.78747
RHI,Rhinelander-Oneida County Airport,Rhinelander,WI,45.63119,-89.46745
RIC,Richmond International Airport,Richmond,VA,37.50517,-77.31967
RKS,Rock Springs-Sweetwater County Airport,Rock Springs,WY,41.59422,-109.06519
RNO,Reno/Tahoe International Airport,Reno,NV,39.49858,-119.76806
ROA,Roanoke Regional Airportξ(Woodrum Field),Roanoke,VA,37.32547,-79.97543
ROC,Greater Rochester International Airport,Rochester,NY,43.11887,-77.67238
ROW,Roswell International Air Center,Roswell,NM,33.30156,-104.53056
RST,Rochester International Airport,Rochester,MN,43.90883,-92.49799
RSW,Southwest Florida International Airport,Ft. Myers,FL,26.53617,-81.75517
SAF,Santa Fe Municipal Airport,Santa Fe,NM,35.61678,-106.08814
SAN,San Diego International Airportξ(Lindbergh Field),San Diego,CA,32.73356,-117.18966
SAT,San Antonio International Airport,San Antonio,TX,29.53369,-98.46978
SAV,Savannah/Hilton Head International Airport,Savannah,GA,32.12758,-81.20214
SBA,Santa Barbara Municipal Airportξ(Santa Barbara Airport),Santa Barbara,CA,34.42621,-119.84037
SBN,South Bend International Airportξ(South Bend Regional),South Bend,IN,41.70895,-86.31847
SBP,San Luis Obispo County Regional Airportξ(McChesney Field),San Luis Obispo,CA,35.23706,-120.64239
SCC,Deadhorse Airportξ(Prudhoe Bay Airport),Deadhorse,AK,70.19476,-148.46516
SCE,University Park Airport,State College,PA,40.85121,-77.8463
SDF,Louisville International Airportξ(Standiford Field),Louisville,KY,38.17439,-85.736
SEA,Seattle-Tacoma International Airport,Seattle,WA,47.44898,-122.30931
SFO,San Francisco International Airport,San Francisco,CA,37.619,-122.37484
SGF,Springfield-Branson National Airport,Springfield,MO,37.24433,-93.38686
SGU,St. George Regional Airport,St George,UT,37.09058,-113.59306
SHV,Shreveport Regional Airport,Shreveport,LA,32.44663,-93.8256
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,57.04714,-135.3616
SJC,Norman Y. Mineta San Jos�� International Airport,San Jose,CA,37.36186,-121.92901
SJT,San Angelo Regional Airportξ(Mathis Field),San Angelo,TX,31.35775,-100.49631
SJU,Luis Mu��oz Mar�_n International Airport,San Juan,PR,18.43942,-66.00183
SLC,Salt Lake City International Airport,Salt Lake City,UT,40.78839,-111.97777
SMF,Sacramento International Airport,Sacramento,CA,38.69542,-121.59077
SMX,Santa Maria Public Airportξ(Capt G. Allan Hancock Field),Santa Maria,CA,34.89925,-120.45758
SNA,John Wayne Airportξ(Orange County Airport),Santa Ana,CA,33.67566,-117.86822
SPI,Abraham Lincoln Capital Airport,Springfield,IL,39.84395,-89.67762
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,33.9888,-98.49189
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,27.39533,-82.55411
STC,St. Cloud Regional Airport,St Cloud,MN,45.54532,-94.05834
STL,St. Louis International Airport at Lambert Field,St Louis,MO,38.74769,-90.35999
STT,Cyril E. King Airport,Charlotte Amalie,VI,18.33731,-64.97336
STX,Henry E. Rohlsen Airport,Christiansted,VI,17.70189,-64.79856
SUN,Friedman Memorial Airport,Hailey,ID,43.50484,-114.29659
SUX,Sioux Gateway Airport,Sioux City,IA,42.4026,-96.38437
SWF,Stewart International Airport,Newburgh,NY,41.50409,-74.10484
SYR,Syracuse Hancock International Airport,Syracuse,NY,43.11119,-76.10631
TLH,Tallahassee International Airport,Tallahassee,FL,30.39653,-84.35033
TOL,Toledo Express Airport,Toledo,OH,41.58681,-83.80783
TPA,Tampa International Airport,Tampa,FL,27.97547,-82.53325
TRI,Tri-Cities Regional Airport,Bristol,TN,36.47521,-82.40742
TTN,Trenton Mercer Airport,Trenton,NJ,40.27669,-74.81347
TUL,Tulsa International Airport,Tulsa,OK,36.19837,-95.88824
TUS,Tucson International Airport,Tucson,AZ,32.11608,-110.94103
TVC,Cherry Capital Airport,Traverse City,MI,44.74144,-85.58224
TWF,Magic Valley Regional Airportξ(Joslin Field),Twin Falls,ID,42.4818,-114.48774
TXK,Texarkana Regional Airportξ(Webb Field),Texarkana,AR,33.45371,-93.99102
TYR,Tyler Pounds Regional Airport,Tyler,TX,32.35414,-95.40239
TYS,McGhee Tyson Airport,Knoxville,TN,35.81249,-83.99286
UST,Northeast Florida Regional Airportξ(St. Augustine Airport),St. Augustine,FL,,
VEL,Valdez Airport,Vernal,UT,40.4409,-109.50992
VLD,Valdosta Regional Airport,Valdosta,GA,30.7825,-83.27672
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,30.48325,-86.5254
WRG,Wrangell Airport,Wrangell,AK,56.48433,-132.36982
WYS,Westerly State Airport,West Yellowstone,MT,44.6884,-111.11764
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,36.28187,-94.30681
YAK,Yakutat Airport,Yakutat,AK,59.50336,-139.66023
YUM,Yuma International Airport,Yuma,AZ,32.65658,-114.60597
