timestamp,AA,UA,B6,OO,AS,NK,WN,DL,HA
8/1/17,51.06,67.86,21.98,36.35,85.87,40.79,55.72,50.07,42.25
7/31/17,50.44,67.68,21.93,36.5,85.23,38.85,55.51,49.36,41.4
7/28/17,50.49,67.88,22.06,37.6,86.32,39.71,56.56,50.33,41.95
7/27/17,50,68.09,21.71,35.7,87.98,40.07,56.57,50.08,41.5
7/26/17,51.01,70.24,22.07,37.7,87.72,48.85,59.52,51.13,41.9
7/25/17,50.61,69.48,22.77,37.7,87.13,48.66,58.82,51.14,44.2
7/24/17,51.28,70.43,22.76,37.9,87.01,49.02,59.81,51.53,44.8
7/21/17,51.91,71.57,23.45,37.9,88.25,50.12,60.28,52.26,45.3
7/20/17,52.34,72.08,23.33,38.15,89.1,50.57,60.4,52.83,46.3
7/19/17,52.61,74.24,23.33,37.9,90.27,51.95,61.41,53.79,46.65
7/18/17,53.15,78.9,23.26,37.55,90.75,52.06,61.57,53.96,46.55
7/17/17,53.87,79.78,23.53,37.9,92.08,53.4,62.14,54.64,47.1
7/14/17,54.22,79.85,23.43,36.55,92.63,53.17,61.93,55.13,46.2
7/13/17,53.81,80.17,23.75,36.75,93.74,53.22,62.02,54.5,46.3
7/12/17,53.8,80.53,23.29,37,94.63,53.01,62.08,55.48,46.7
7/11/17,51.61,76.92,22.93,36.2,91.57,52.28,61.81,54.28,47.2
7/10/17,52.66,78.26,23.11,36.6,92.94,52.18,63.13,54.81,47.75
7/7/17,53.03,78.94,23.36,36.8,93.89,53.46,64.24,55.46,48.3
7/6/17,52.05,77.71,22.88,35.25,91.4,51.26,63.36,54.37,47.1
7/5/17,51.26,76.54,23.04,35.85,91.28,51.75,63.16,54.33,46.8
7/3/17,50.39,75.08,23.02,35.45,90.22,51.05,62.07,54.06,47.2
6/30/17,50.32,75.25,22.83,35.1,89.76,51.65,62.14,53.74,46.95
6/29/17,49.62,75.44,22.85,34.95,89.1,52.09,61.81,53.87,46.2
6/28/17,49.25,76.7,22.96,34.95,88.41,52.37,62.01,53.84,45.85
6/27/17,48.5,76,22.71,35.45,88.92,52.58,61.51,52.84,46.75
6/26/17,48.78,77.03,22.64,36.2,90.87,52.34,61.75,52.87,46.9
6/23/17,48.63,76.79,22.4,36.2,91.63,52.55,61.92,52.92,46.9
6/22/17,48.97,77.45,22.33,36,91.02,52.53,61.52,52.81,46.9
6/21/17,48.43,77.59,22.54,36.35,90.83,52.81,61.03,52.27,47.9
6/20/17,48.03,77.28,22.47,35.8,89.39,52.95,60.33,51.76,46.35
6/19/17,49.66,78.63,22.92,36.9,90.77,53.95,60.92,52.51,47.4
6/16/17,48.79,76.78,22.79,36.7,88.74,52.71,60.29,52,46.35
6/15/17,49.11,77.34,23.03,37.05,88.41,52.83,60.11,51.56,47.2
6/14/17,49.39,77.56,23.36,37.3,89.17,53.9,59.53,51.91,48.9
6/13/17,49.45,77.48,23.05,37.45,88.91,54.21,59.21,51.87,54.65
6/12/17,49.48,77.73,22.81,37.5,89.04,54.2,58.99,52.25,56.6
6/9/17,50.27,78.83,22.77,37.05,89.93,54.78,59.46,53.01,56.65
6/8/17,51.43,80.52,22.77,36.6,90.54,55.85,59.16,52.84,56.6
6/7/17,50.86,81.66,23.01,36.05,91.69,55.41,59.96,52.27,59.35
6/6/17,49.74,81.24,22.62,35.7,89.2,56.42,60.1,51.23,52.85
6/5/17,49.74,81.67,22.74,35.7,89.3,56.32,60.99,51.39,52.6
6/2/17,49.52,82.03,22.85,35.975,89.31,55.83,60.36,51.19,51.8
6/1/17,49.05,80.98,22.65,35.05,88.23,54.36,60.3,49.85,50.95
5/31/17,48.41,79.67,22.42,34.3,87.05,53.1,60.09,49.13,50.1
5/30/17,47.96,79.25,22.49,34.6,85.81,53.12,59.48,49.06,49.55
5/26/17,48.74,81.25,22.95,35.35,86.62,54.26,60.67,50.8,49.75
5/25/17,48.02,81.41,22.81,36.3,86.58,54.15,60.92,50.4,50.75
5/24/17,46.77,78.94,22.37,35.05,84.54,52.07,59.58,48.87,49.3
5/23/17,46.66,79.03,22.08,35,85.78,53.12,59.64,48.59,50.1
5/22/17,46.21,78.92,21.57,34.35,85.28,53,58.92,48.49,49.9
5/19/17,45.22,77.98,21.28,34.45,84.57,53.82,58.04,48.2,51.25
5/18/17,44.65,75.98,21.01,33.9,83.04,53.76,57.29,47.66,51.25
5/17/17,44.92,76.18,20.96,33.9,82.19,53.63,57.04,47.74,51.7
5/16/17,46.94,79.06,21.51,35.7,84.73,54.98,58.27,49.51,54.05
5/15/17,46.68,77.79,21.26,35.5,84.87,55.48,58.03,49.51,53.6
5/12/17,45.83,76.41,21.23,34.95,83.59,55.09,57.22,48.99,53.3
5/11/17,46.54,77.36,21.58,35.7,83.65,55.32,58.09,49.69,53.2
5/10/17,47.3,78.55,21.63,35.75,83.19,55.77,58.37,49.97,53.45
5/9/17,47.08,78.55,21.84,35.85,84.21,56.11,58.28,49.56,53.8
5/8/17,44.94,74.98,21.41,35.7,83.53,57.43,57.48,48.52,53.1
5/5/17,44.51,75.3,21.51,36.35,85.24,59.19,58.4,48.7,53.8
5/4/17,43.91,74.91,21.54,36.35,85.43,59.28,58.34,48.64,54.55
5/3/17,43.92,74.21,21.9,36.95,86.6,59.74,58.16,48.31,55.4
5/2/17,43.87,73.94,22.06,37.15,86.49,59.51,58.33,47.83,55.625
5/1/17,42.08,70.27,21.62,37.05,84.42,57.6,56.28,45.4,53.95
4/28/17,42.62,70.21,21.83,37.2,85.09,57.27,56.22,45.44,54.3
4/27/17,43.98,70.7,22.14,34.85,84.93,57.53,55.75,45.74,54.4
4/26/17,46.4,71.33,22.25,35.85,88.25,57.95,56.94,46.37,54.35
4/25/17,46.61,70.97,22.47,35.8,91.42,57.87,57.09,46.73,54.05
4/24/17,46.44,71,21.75,34.9,90.68,58,56.49,46.81,54.85
4/21/17,45.15,69.56,21.53,34.3,89.11,58.46,55.63,45.53,53.25
4/20/17,45.22,69.8,21.39,34.7,88.37,58.5,55.95,45.93,51.9
4/19/17,44.4,69.29,21.2,34,87.19,57.72,54.65,45.08,50.5
4/18/17,43.81,67.75,20.79,32.9,86.53,56.22,54.42,44.41,48.5
4/17/17,44.23,70.77,20.92,32.5,86.91,53.83,54.72,44.35,48.6
4/13/17,43.35,69.07,20.73,33.05,86.33,53.51,54.31,44.03,48.35
4/12/17,43.96,69.93,21.2,30.4,88.66,54.03,55.51,45.05,48.65
4/11/17,43.93,70.71,21.54,32,88.84,52.65,55.06,45.29,48.925
4/10/17,42.32,71.52,21.25,31.8,89.04,51.81,54.22,44.97,48.15
4/7/17,41.81,70.88,21.1,31.15,89.17,51.85,54.54,45.17,45.75
4/6/17,41.72,70.22,20.91,31.7,89.43,51.75,53.38,45.26,46.05
4/5/17,41.31,70.06,20.57,31.9,90.05,50.9,53.35,45.08,45.9
4/4/17,40.9,69.76,20.51,32.95,90.22,51.41,53.07,45.11,46.45
4/3/17,42.45,71.35,20.64,33.8,92.37,53.16,54,46.32,47.3
3/31/17,42.3,70.64,20.61,34.25,92.22,53.07,53.76,45.96,46.45
3/30/17,42.54,70.78,20.73,33.85,93.66,52.19,53.83,46.27,46.7
3/29/17,41.96,69.85,20.64,33.85,94.3,51.53,53.48,45.95,46.75
3/28/17,42.6,70.74,20.82,34.8,96.33,52.02,54.19,46.53,48
3/27/17,41.74,68.37,20.29,34.9,95,50.98,52.88,46.1,49
3/24/17,41.73,67.93,19.94,35.5,94.7,50.7,52.61,46,48.45
3/23/17,41.41,67.5,19.92,35.25,94.05,50.3,52.37,45.92,47.65
3/22/17,40.35,66.95,19.8,34.85,92.92,50.48,52.46,45.74,47.3
3/21/17,40.42,65.28,19.76,34.9,92.11,50.09,51.88,45.52,46.65
3/20/17,41.7,67.49,20.29,35.85,94.82,51.1,53.45,46.85,49
3/17/17,41.72,66.79,20.16,36,93.36,50.91,53.18,46.51,49.9
3/16/17,42.13,67.56,20.02,36.8,94.14,51.11,54.15,47.41,48.2
3/15/17,42.09,68.17,20.09,36.55,95.36,50.83,54.29,47.19,49.75
3/14/17,41.21,66.55,19.63,35.05,94.5,49.53,52.88,46.28,48
3/13/17,42.37,69.85,20.04,35.4,96.58,51.25,54.49,47.35,48.8
3/10/17,43.9,72.34,20.04,35.8,96.61,52.01,55.88,47.91,48.2
3/9/17,43.33,72.54,19.08,34.9,94.78,51.52,56.36,47.25,48.6
3/8/17,44.89,73.44,19.38,34.6,95.2,52.18,56.68,47.67,48.8
3/7/17,44.84,72.64,19.26,34.8,95.12,51.41,56.83,47.64,48.05
3/6/17,45.31,73.14,19.41,35.65,96.63,52.77,57.56,48.85,49.5
3/3/17,46.82,75.59,20.2,35.9,98.94,52.62,58.86,50.13,49.95
3/2/17,45.72,73.28,19.89,35.65,96.36,51.15,57.57,49.96,49.15
3/1/17,47.09,75.39,20.5,36.85,100.24,53.8,58.88,51.03,49.4
2/28/17,46.36,74.09,19.96,35.15,97.82,52.21,57.8,49.93,48.65
2/27/17,46.32,75.28,19.97,35.85,97.84,53.16,58.43,50.44,49.5
2/24/17,46.28,75.08,19.57,35.45,97.01,51.92,58.54,50.46,50
2/23/17,46.1,74.56,19.61,35.3,95.89,51.43,57.26,50.48,49.55
2/22/17,46.32,75.43,19.92,36.1,97.25,51.65,57.91,50.93,50.15
2/21/17,46.81,75.41,20.1,36.1,96.61,51.74,57.86,51.21,50.3
2/17/17,46.91,75.96,20.11,35.7,96.6,51.38,57.32,51.23,50.3
2/16/17,46.97,75.67,19.84,35.6,96.69,52.35,56.34,50.83,50.4
2/15/17,47.54,75.75,19.91,36.3,96.96,53.24,57.29,51.17,51.15
2/14/17,46.57,73.74,19.66,35.05,96.3,53.08,55.31,49.86,51.1
2/13/17,47.41,73.84,19.84,35.55,98.02,54.36,55.73,50.06,51.85
2/10/17,46.45,72.6,19.8,36.25,97.35,53.88,54.71,49.26,51.35
2/9/17,46.3,72.98,19.97,35.5,98.41,53.74,54.52,49.33,51.5
2/8/17,45.06,71.7,19.29,33.3,97.2,52.67,52.92,48.1,50.5
2/7/17,45.17,71.29,18.86,32.75,94.1,54.05,53.04,48.15,50.4
2/6/17,45.3,73.5,19.5,33.5,95.12,55.66,53.07,48.26,50.35
2/3/17,44.2,73.06,19.5,34.53,94.09,54.94,52.88,47.81,50.8
2/2/17,44.01,72.14,19.37,36.8,94.53,53.3,52.86,47.38,50.15
2/1/17,44.05,71.48,19.38,36.2,93.63,53.88,52.73,47.26,50.5
1/31/17,44.25,70.47,19.61,35.4,93.82,54.04,52.31,47.24,50.95
1/30/17,44.9,71.72,19.36,35,94.16,53.77,52.35,47.67,51.2
1/27/17,46.95,74.42,19.65,36.6,95.13,54.25,52.7,49.7,51.5
1/26/17,49.59,75.38,21.1,36.95,95.9,57.01,53.92,50.9,52.8
1/25/17,47.91,73.59,21.77,36.65,93.38,56.08,49.46,50.19,51.8
1/24/17,47.54,73.18,21.42,36.55,92.86,55.5,49.65,49.44,54.95
1/23/17,46.94,72.75,21.04,36.15,93.07,55.82,49.94,48.77,53.9
1/20/17,48,75.24,21.41,36.85,94.71,56.68,51.09,50.5,55.75
1/19/17,47.26,74.02,21.36,36.3,94.22,55.81,50.07,49.7,55.2
1/18/17,47.64,74,21.49,36.75,92.93,56.4,50.38,50.3,56.65
1/17/17,46.75,73.74,21.34,36.25,93.41,55.22,50.24,50.33,56.25
1/13/17,47.65,74.32,21.76,37,94.32,56.58,51.15,51.23,57.55
1/12/17,48.1,74,21.82,36.35,93.26,56.32,51.01,50.89,55.65
1/11/17,48.64,75.04,22.78,36.8,93.8,56.08,51.68,51.44,57.05
1/10/17,48.48,73.66,22.51,36.55,92,58.05,51.34,50.93,56.45
1/9/17,47.08,71.28,22.05,35.65,87.47,56.13,50.3,49.69,56.6
1/6/17,46.21,71.37,21.83,36.2,86.98,56.27,49.93,49.68,55.5
1/5/17,45.89,70.93,22.27,36.6,87.76,58.07,50.47,49.73,56.95
1/4/17,46.7,73.02,22.65,37.45,89.18,58.1,51.3,50.7,57.85
1/3/17,46.3,72.71,22.39,36.55,88,57.09,49.98,49.48,56.15
12/30/16,46.69,72.88,22.42,36.45,88.73,57.86,49.84,49.19,57
12/29/16,47.25,73.28,22.14,37.45,88.53,57.41,50.2,49.31,58.2
12/28/16,47.67,73.53,22.03,37.7,88.69,57.72,50.17,49.51,58
12/27/16,48.61,74.67,22.28,39.05,90.54,58.51,50.49,50.36,59.6
12/23/16,48.48,74.79,22.27,39,90.43,58.78,50.45,49.89,59.5
12/22/16,48.69,74.19,22.19,38.45,89.1,58.51,50.25,49.8,59.35
12/21/16,49.47,75.72,22.71,39,91.12,59.5,50.65,50.92,60.3
12/20/16,49.22,76.05,22.79,39.3,91.56,59.15,50.89,50.76,60.15
12/19/16,48.58,74.48,22.51,37.6,90.33,57.85,50.35,50.42,57.8
12/16/16,47.63,74.42,22.18,37.4,88.73,57.4,49.93,50.16,57.35
12/15/16,48.3,74.79,22.49,38.85,90.12,59.24,50.59,50.5,57
12/14/16,47.92,72.94,22.15,36.65,86.38,57.31,49.28,49.82,56.3
12/13/16,47.84,72.55,22.53,36.3,86.87,57.58,49.55,49.66,56.05
12/12/16,47.59,73.24,21.62,36.2,86.73,56.98,49.37,49.97,55.35
12/9/16,49.64,75.17,21.9,38.95,89.77,59.06,49.79,51.78,56.75
12/8/16,48.05,72.74,21.83,37.6,88.55,58.7,49.6,51.35,56.45
12/7/16,48.65,72.43,21.89,37.3,87.67,58.75,49.85,51.1,54.2
12/6/16,46.43,70.97,21.19,36.35,84.8,57,47.68,49.43,53.15
12/5/16,45.72,68.26,20.9,35.85,83.12,55.6,47.07,47.82,51.85
12/2/16,46.1,69.27,20.93,36.55,84.83,56.25,47.91,48.31,51.2
12/1/16,45.75,68.47,20.4,36.45,82.86,55.21,47.07,47.77,50.4
11/30/16,46.44,68.95,20.09,36.85,82.27,55.6,46.61,48.18,51.35
