date,city,state,event_name
22/1/2017,Anaheim,CA,National Association of Music Merchandise (NAMM) Show
22/1/2017,San Francisco,CA,Winter Fancy Food Show
23/1/2017,Park City,UT,Sundance Film Festival
23/1/2017,San Francisco,CA,Winter Fancy Food Show
24/1/2017,Park City,UT,Sundance Film Festival
24/1/2017,San Francisco,CA,Winter Fancy Food Show
25/1/2017,Park City,UT,Sundance Film Festival
26/1/2017,Park City,UT,Sundance Film Festival
27/1/2017,Park City,UT,Sundance Film Festival
27/1/2017,Ann Arbor,MI,Ann Arbor Folk Festival
28/1/2017,Park City,UT,Sundance Film Festival
28/1/2017,Ann Arbor,MI,Ann Arbor Folk Festival
28/1/2017,Los Angeles,CA,Producers Guild Awards
29/1/2017,Park City,UT,Sundance Film Festival
29/1/2017,Orlando,FL,NFL Pro Bowl
29/1/2017,Los Angeles,CA,NHL All Star Game
29/1/2017,Los Angeles,CA,Screen Actors Guild Awards
31/1/2017,Memphis,TN,International Blues Challenge
31/1/2017,Los Angeles,CA,Pollstar Live!
1/2/17,Memphis,TN,International Blues Challenge
1/2/17,Los Angeles,CA,Pollstar Live!
1/2/17,New York,NY,The Ellies National Magazine Awards Gal
2/2/17,Memphis,TN,International Blues Challenge
2/2/17,Los Angeles,CA,Pollstar Live!
3/2/17,Memphis,TN,International Blues Challenge
4/2/17,Memphis,TN,International Blues Challenge
4/2/17,Chicago,IL,Chicago Voice Gala
4/2/17,Los Angeles,CA,Directors Guild Awards
4/2/17,Houston,TX,NFL Honors
5/2/17,Houston,TX,NFL Super Bowl
8/2/17,Detroit,MI,Sphinx Competition
9/2/17,Detroit,MI,Sphinx Competition
9/2/17,New York,NY,New York Fashion Week (Fall/Winter 2017)
10/2/17,Detroit,MI,Sphinx Competition
10/2/17,New York,NY,New York Fashion Week (Fall/Winter 2017)
10/2/17,Santa Monica,CA,MusiCares Person Of The Year Tribute
11/2/17,Detroit,MI,Sphinx Competition
11/2/17,New York,NY,New York Fashion Week (Fall/Winter 2017)
11/2/17,Los Angeles,CA,NAACP Image Awards
11/2/17,Los Angeles,CA,The Academy‰Ûªs Sci Tech Awards
11/2/17,Los Angeles,CA,The Writers Guild Awards
12/2/17,Detroit,MI,Sphinx Competition
12/2/17,New York,NY,New York Fashion Week (Fall/Winter 2017)
12/2/17,London,UK,BAFTA Awards
12/2/17,Los Angeles,CA,GRAMMY Awards
13/2/2017,New York,NY,New York Fashion Week (Fall/Winter 2017)
14/2/2017,New York,NY,New York Fashion Week (Fall/Winter 2017)
15/2/2017,New York,NY,New York Fashion Week (Fall/Winter 2017)
15/2/2017,Kansas City,MO,Folk Alliance Conference
15/2/2017,London,UK,NME Awards
16/2/2017,New York,NY,New York Fashion Week (Fall/Winter 2017)
16/2/2017,Kansas City,MO,Folk Alliance Conference
16/2/2017,Ventura,CA,Durango Songwriters Expo
16/2/2017,Los Angeles,CA,Guild of Music Supervisors Awards
17/2/2017,New York,NY,New York Fashion Week (Fall/Winter 2017)
17/2/2017,Kansas City,MO,Folk Alliance Conference
17/2/2017,Ventura,CA,Durango Songwriters Expo
17/2/2017,San Francisco,CA,Noise Pop Festival
18/2/2017,Kansas City,MO,Folk Alliance Conference
18/2/2017,Ventura,CA,Durango Songwriters Expo
18/2/2017,San Francisco,CA,Noise Pop Festival
19/2/2017,Kansas City,MO,Folk Alliance Conference
19/2/2017,San Francisco,CA,Noise Pop Festival
19/2/2017,New Orleans,LA,NBA All Star Game
20/2/2017,San Francisco,CA,Noise Pop Festival
21/2/2017,San Francisco,CA,Noise Pop Festival
22/2/2017,San Francisco,CA,Noise Pop Festival
22/2/2017,Nashville,TN,Country Radio Seminar
22/2/2017,London,UK,BRIT Awards
23/2/2017,San Francisco,CA,Noise Pop Festival
23/2/2017,Nashville,TN,Country Radio Seminar
23/2/2017,Harrisburg,PA,Millennium Music Conference & Showcase
24/2/2017,San Francisco,CA,Noise Pop Festival
24/2/2017,Nashville,TN,Country Radio Seminar
24/2/2017,Harrisburg,PA,Millennium Music Conference & Showcase
25/2/2017,San Francisco,CA,Noise Pop Festival
25/2/2017,Harrisburg,PA,Millennium Music Conference & Showcase
25/2/2017,Los Angeles,CA,Film Independent Spirit Awards
26/2/2017,San Francisco,CA,Noise Pop Festival
26/2/2017,Harrisburg,PA,Millennium Music Conference & Showcase
26/2/2017,Daytona Beach,FL,Daytona 500
26/2/2017,Hollywood,CA,The Academy Awards
27/2/2017,San Francisco,CA,Noise Pop Festival
27/2/2017,Nashville,TN,T.J. Martell Foundation Nashville Honors Gala
1/3/17,New York,NY,UJA Federation of New York‰Ûªs REX Gala
3/3/17,Phoenix,AZ,McDowell Mountain Music Festiva
3/3/17,New York,NY,Django a Gogo Music Festival at Carnegie Hall
4/3/17,Phoenix,AZ,McDowell Mountain Music Festiva
5/3/17,Phoenix,AZ,McDowell Mountain Music Festiva
5/3/17,Los Angeles,CA,iHeartRadio Music Awards
6/3/17,New York,NY,Michael Dorf Presents' annual ‰ÛÏMusic Of‰Ûù tribute show
7/3/17,New York,NY,Media Summit New York
8/3/17,New York,NY,Media Summit New York
8/3/17,London,UK,International Live Music Conference
9/3/17,London,UK,International Live Music Conference
10/3/17,London,UK,International Live Music Conference
10/3/17,Austin,TX,South By Southwest (Film)
10/3/17,Austin,TX,South By Southwest (Interactive)
11/3/17,Austin,TX,South By Southwest (Film)
11/3/17,Austin,TX,South By Southwest (Interactive)
11/3/17,Austin,TX,South By Southwest (Comedy)
12/3/17,Austin,TX,South By Southwest (Film)
12/3/17,Austin,TX,South By Southwest (Interactive)
12/3/17,Austin,TX,South By Southwest (Comedy)
13/3/2017,Austin,TX,South By Southwest (Film)
13/3/2017,Austin,TX,South By Southwest (Interactive)
13/3/2017,Austin,TX,South By Southwest (Comedy)
13/3/2017,Austin,TX,South By Southwest (Music)
14/3/2017,Austin,TX,South By Southwest (Film)
14/3/2017,Austin,TX,South By Southwest (Interactive)
14/3/2017,Austin,TX,South By Southwest (Comedy)
14/3/2017,Austin,TX,South By Southwest (Music)
15/3/2017,Austin,TX,South By Southwest (Film)
15/3/2017,Austin,TX,South By Southwest (Comedy)
15/3/2017,Austin,TX,South By Southwest (Music)
16/3/2017,Austin,TX,South By Southwest (Film)
16/3/2017,Austin,TX,South By Southwest (Comedy)
16/3/2017,Austin,TX,South By Southwest (Music)
17/3/2017,Austin,TX,South By Southwest (Film)
17/3/2017,Austin,TX,South By Southwest (Comedy)
17/3/2017,Austin,TX,South By Southwest (Music)
17/3/2017,Los Angeles,CA,PaleyFest LA
18/3/2017,Austin,TX,South By Southwest (Film)
18/3/2017,Austin,TX,South By Southwest (Comedy)
18/3/2017,Austin,TX,South By Southwest (Music)
18/3/2017,Los Angeles,CA,PaleyFest LA
18/3/2017,Miami,FL,Jazz in the Gardens Music Festival
19/3/2017,Austin,TX,South By Southwest (Music)
19/3/2017,Los Angeles,CA,PaleyFest LA
19/3/2017,Miami,FL,Jazz in the Gardens Music Festival
20/3/2017,Los Angeles,CA,PaleyFest LA
21/3/2017,Los Angeles,CA,PaleyFest LA
21/3/2017,Miami Beach,FL,Winter Music Conference
22/3/2017,Los Angeles,CA,PaleyFest LA
22/3/2017,Miami Beach,FL,Winter Music Conference
22/3/2017,Boise,ID,Treefort Music Fest
23/3/2017,Los Angeles,CA,PaleyFest LA
23/3/2017,Miami Beach,FL,Winter Music Conference
23/3/2017,Boise,ID,Treefort Music Fest
24/3/2017,Los Angeles,CA,PaleyFest LA
24/3/2017,Miami Beach,FL,Winter Music Conference
24/3/2017,Boise,ID,Treefort Music Fest
24/3/2017,Miami,FL,Ultra Music Festival
25/3/2017,Los Angeles,CA,PaleyFest LA
25/3/2017,Boise,ID,Treefort Music Fest
25/3/2017,Miami,FL,Ultra Music Festival
25/3/2017,Las Vegas,NV,Stellar Gospel Music Awards
26/3/2017,Los Angeles,CA,PaleyFest LA
26/3/2017,Boise,ID,Treefort Music Fest
26/3/2017,Miami,FL,Ultra Music Festival
28/3/2017,Nashville,TN,Tin Pan South Songwriters Festival
29/3/2017,Nashville,TN,Tin Pan South Songwriters Festival
30/3/2017,Nashville,TN,Tin Pan South Songwriters Festival
30/3/2017,Las Vegas,NV,ACM Party for a Cause Festival
30/3/2017,Walland,TN,Americana Spring Celebration
31/3/2017,Nashville,TN,Tin Pan South Songwriters Festival
31/3/2017,Las Vegas,NV,ACM Party for a Cause Festival
31/3/2017,Walland,TN,Americana Spring Celebration
31/3/2017,Anaheim,CA,WonderCon
1/4/17,Nashville,TN,Tin Pan South Songwriters Festival
1/4/17,Las Vegas,NV,ACM Party for a Cause Festival
1/4/17,Walland,TN,Americana Spring Celebration
1/4/17,Anaheim,CA,WonderCon
1/4/17,Phoenix,AZ,NCAA Final Four
2/4/17,Las Vegas,NV,ACM Party for a Cause Festival
2/4/17,Anaheim,CA,WonderCon
2/4/17,Las Vegas,NV,Academy of Country Music Awards
3/4/17,New York,NY,New York City International Film Festival
3/4/17,Phoenix,AZ,NCAA Championship Game
4/4/17,New York,NY,New York City International Film Festival
5/4/17,New York,NY,New York City International Film Festival
6/4/17,New York,NY,New York City International Film Festival
6/4/17,Florence,AZ,Country Thunder Arizona
6/4/17,Austin,TX,Euphoria Music Fest
6/4/17,New Orleans,LA,French Quarter Festival
7/4/17,New York,NY,New York City International Film Festival
7/4/17,Florence,AZ,Country Thunder Arizona
7/4/17,Austin,TX,Euphoria Music Fest
7/4/17,New Orleans,LA,French Quarter Festival
7/4/17,Fort Lauderdale,FL,Tortuga Music Festival
7/4/17,Brooklyn,NY,Rock and Roll Hall of Fame Induction Ceremony
8/4/17,Florence,AZ,Country Thunder Arizona
8/4/17,Austin,TX,Euphoria Music Fest
8/4/17,New Orleans,LA,French Quarter Festival
8/4/17,Fort Lauderdale,FL,Tortuga Music Festival
9/4/17,Florence,AZ,Country Thunder Arizona
9/4/17,Austin,TX,Euphoria Music Fest
9/4/17,New Orleans,LA,French Quarter Festival
9/4/17,Fort Lauderdale,FL,Tortuga Music Festival
13/4/2017,Lancaster,PA,Launch Music Conference & Festival
13/4/2017,Los Angeles,CA,ASCAP ‰ÛÏI Create Music‰Ûù EXPO
13/4/2017,New York,NY,SESAC Pop Music Awards
14/4/2017,Lancaster,PA,Launch Music Conference & Festival
14/4/2017,Los Angeles,CA,ASCAP ‰ÛÏI Create Music‰Ûù EXPO
14/4/2017,Indio,CA,Coachella weekend 1
15/4/2017,Lancaster,PA,Launch Music Conference & Festival
15/4/2017,Los Angeles,CA,ASCAP ‰ÛÏI Create Music‰Ûù EXPO
15/4/2017,Indio,CA,Coachella weekend 1
16/4/2017,Lancaster,PA,Launch Music Conference & Festival
16/4/2017,Indio,CA,Coachella weekend 1
19/4/2017,New York,NY,Tribeca Film Festival
20/4/2017,New York,NY,Tribeca Film Festival
20/4/2017,Nashville,TN,Nashville Film Festival
20/4/2017,Seattle,WA,MoPOP Pop Conference
20/4/2017,Orlando,FL,Florida Music Festival & Conference
20/4/2017,New York,NY,Vanity Fair‰Ûªs Founders Fair
21/4/2017,New York,NY,Tribeca Film Festival
21/4/2017,Nashville,TN,Nashville Film Festival
21/4/2017,Seattle,WA,MoPOP Pop Conference
21/4/2017,Orlando,FL,Florida Music Festival & Conference
21/4/2017,Chicago,IL,Chicago Comic & Entertainment Expo
21/4/2017,Indio,CA,Coachella weekend 2
22/4/2017,New York,NY,Tribeca Film Festival
22/4/2017,Nashville,TN,Nashville Film Festival
22/4/2017,Seattle,WA,MoPOP Pop Conference
22/4/2017,Orlando,FL,Florida Music Festival & Conference
22/4/2017,Chicago,IL,Chicago Comic & Entertainment Expo
22/4/2017,Indio,CA,Coachella weekend 2
22/4/2017,Las Vegas,NV,NAB Show
22/4/2017,Los Angeles,CA,Los Angeles Times Festival of Books
22/4/2017,Clarksdale,MS,Juke Joint Festival
23/4/2017,New York,NY,Tribeca Film Festival
23/4/2017,Nashville,TN,Nashville Film Festival
23/4/2017,Seattle,WA,MoPOP Pop Conference
23/4/2017,Chicago,IL,Chicago Comic & Entertainment Expo
23/4/2017,Indio,CA,Coachella weekend 2
23/4/2017,Las Vegas,NV,NAB Show
23/4/2017,Los Angeles,CA,Los Angeles Times Festival of Books
24/4/2017,New York,NY,Tribeca Film Festival
24/4/2017,Nashville,TN,Nashville Film Festival
24/4/2017,Las Vegas,NV,NAB Show
24/4/2017,Miami,FL,Billboard Latin Music Conference and Awards
25/4/2017,New York,NY,Tribeca Film Festival
25/4/2017,Nashville,TN,Nashville Film Festival
25/4/2017,Las Vegas,NV,NAB Show
25/4/2017,Miami,FL,Billboard Latin Music Conference and Awards
26/4/2017,New York,NY,Tribeca Film Festival
26/4/2017,Nashville,TN,Nashville Film Festival
26/4/2017,Las Vegas,NV,NAB Show
26/4/2017,Miami,FL,Billboard Latin Music Conference and Awards
27/4/2017,New York,NY,Tribeca Film Festival
27/4/2017,Nashville,TN,Nashville Film Festival
27/4/2017,Las Vegas,NV,NAB Show
27/4/2017,Miami,FL,Billboard Latin Music Conference and Awards
27/4/2017,Wilkesboro,NC,MerleFest
27/4/2017,Philadelphia,PA,NFL 2017 Draft
28/4/2017,New York,NY,Tribeca Film Festival
28/4/2017,Nashville,TN,Nashville Film Festival
28/4/2017,Wilkesboro,NC,MerleFest
28/4/2017,Philadelphia,PA,NFL 2017 Draft
28/4/2017,New Orleans,LA,New Orleans Jazz & Heritage Festival
28/4/2017,Las Cruces,NM,Las Cruces Country Music Festival
28/4/2017,Indio,CA,Stagecoach Festival
29/4/2017,New York,NY,Tribeca Film Festival
29/4/2017,Nashville,TN,Nashville Film Festival
29/4/2017,Wilkesboro,NC,MerleFest
29/4/2017,Philadelphia,PA,NFL 2017 Draft
29/4/2017,New Orleans,LA,New Orleans Jazz & Heritage Festival
29/4/2017,Las Cruces,NM,Las Cruces Country Music Festival
29/4/2017,Indio,CA,Stagecoach Festival
29/4/2017,Forth Worth,TX,Fortress Festival
29/4/2017,Washington,DC,White House Correspondents‰Ûª Association Dinner
30/4/2017,New York,NY,Tribeca Film Festival
30/4/2017,Wilkesboro,NC,MerleFest
30/4/2017,New Orleans,LA,New Orleans Jazz & Heritage Festival
30/4/2017,Las Cruces,NM,Las Cruces Country Music Festival
30/4/2017,Indio,CA,Stagecoach Festival
30/4/2017,Forth Worth,TX,Fortress Festival
30/4/2017,Hollywood,CA,MUSEXPO
30/4/2017,Los Angeles,CA,Daytime Emmy Awards
1/5/17,New Orleans,LA,New Orleans Jazz & Heritage Festival
1/5/17,Hollywood,CA,MUSEXPO
2/5/17,New Orleans,LA,New Orleans Jazz & Heritage Festival
2/5/17,Hollywood,CA,MUSEXPO
2/5/17,Nashville,TN,GRAMMY Block Party
3/5/17,New Orleans,LA,New Orleans Jazz & Heritage Festival
3/5/17,Hollywood,CA,MUSEXPO
3/5/17,Hollywood,CA,Worldwide Radio Summit
3/5/17,New York,NY,A Celebration Of The Music Of Jimmy Webb: The Cake And The Rain at Carnegie Hall
4/5/17,New Orleans,LA,New Orleans Jazz & Heritage Festival
4/5/17,Hollywood,CA,Worldwide Radio Summit
5/5/17,New Orleans,LA,New Orleans Jazz & Heritage Festival
5/5/17,Hollywood,CA,Worldwide Radio Summit
5/5/17,Memphis,TN,Beale Street Music Festival
5/5/17,Louisville,KY,The Kentucky Oaks
6/5/17,New Orleans,LA,New Orleans Jazz & Heritage Festival
6/5/17,Memphis,TN,Beale Street Music Festival
6/5/17,New York,NY,Kristen Ann Carr Fund A Night To Remember
6/5/17,Louisville,KY,The Kentucky Derby
7/5/17,New Orleans,LA,New Orleans Jazz & Heritage Festival
7/5/17,Memphis,TN,Beale Street Music Festival
8/5/17,New Orleans,LA,Inc. GrowCo Conference
9/5/17,New Orleans,LA,Inc. GrowCo Conference
9/5/17,Nashville,TN,Gospel Music Association Honors
9/5/17,New York,NY,Variety‰Ûªs Entertainment & Technology Summit
10/5/17,New Orleans,LA,Inc. GrowCo Conference
10/5/17,Key West,FL,Key West Songwriter‰Ûªs Festival
10/5/17,Los Angeles,CA,LA Games Conference
10/5/17,Brooklyn,NY,Relix Live Music Conference
11/5/17,Key West,FL,Key West Songwriter‰Ûªs Festival
11/5/17,Memphis,TN,Blues Music Awards
12/5/17,Key West,FL,Key West Songwriter‰Ûªs Festival
12/5/17,Atlanta,GA,Shaky Knees Festival
13/5/2017,Key West,FL,Key West Songwriter‰Ûªs Festival
13/5/2017,Atlanta,GA,Shaky Knees Festival
14/5/2017,Key West,FL,Key West Songwriter‰Ûªs Festival
14/5/2017,Atlanta,GA,Shaky Knees Festival
14/5/2017,Spokane,WA,Musicfest Northwest
15/5/2017,Spokane,WA,Musicfest Northwest
15/5/2017,Nashville,TN,Music Biz 2017 Convention
15/5/2017,New York,NY,TechCrunch Disrupt
16/5/2017,Spokane,WA,Musicfest Northwest
16/5/2017,Nashville,TN,Music Biz 2017 Convention
16/5/2017,New York,NY,TechCrunch Disrupt
17/5/2017,Spokane,WA,Musicfest Northwest
17/5/2017,Nashville,TN,Music Biz 2017 Convention
17/5/2017,New York,NY,TechCrunch Disrupt
17/5/2017,Philadelphia,PA,Non COMMvention
18/5/2017,Spokane,WA,Musicfest Northwest
18/5/2017,Nashville,TN,Music Biz 2017 Convention
18/5/2017,Philadelphia,PA,Non COMMvention
18/5/2017,Durham,NC,Moogfest
18/5/2017,Brighton,UK,The Great Escape Festival
18/5/2017,Los Angeles,CA,ASCAP Pop Music Awards
19/5/2017,Spokane,WA,Musicfest Northwest
19/5/2017,Philadelphia,PA,Non COMMvention
19/5/2017,Durham,NC,Moogfest
19/5/2017,Brighton,UK,The Great Escape Festival
19/5/2017,Gulf Shores,AL,Hangout Festival
20/5/2017,Durham,NC,Moogfest
20/5/2017,Brighton,UK,The Great Escape Festival
20/5/2017,Gulf Shores,AL,Hangout Festival
20/5/2017,Dana Point,CA,Doheny Blues Festival
20/5/2017,New York,NY,Vulture Festival
20/5/2017,Baltimore,MD,Infieldfest at The Preakness
20/5/2017,Baltimore,MD,The Preakness Stakes
21/5/2017,Durham,NC,Moogfest
21/5/2017,Gulf Shores,AL,Hangout Festival
21/5/2017,Dana Point,CA,Doheny Blues Festival
21/5/2017,New York,NY,Vulture Festival
21/5/2017,Las Vegas,NV,Billboard Music Awards
23/5/2017,Los Angeles,CA,Digital Hollywood Spring
24/5/2017,Los Angeles,CA,Digital Hollywood Spring
25/5/2017,Los Angeles,CA,Digital Hollywood Spring
25/5/2017,Cumberland,MD,DelFest
25/5/2017,Liverpool,UK,Liverpool Sound City
26/5/2017,Cumberland,MD,DelFest
26/5/2017,Liverpool,UK,Liverpool Sound City
26/5/2017,Charleston,SC,Spoleto Festival
26/5/2017,Boston,MA,Boston Calling Music Festival
26/5/2017,George,WA,Sasquatch! Music Festival
27/5/2017,Cumberland,MD,DelFest
27/5/2017,Liverpool,UK,Liverpool Sound City
27/5/2017,Charleston,SC,Spoleto Festival
27/5/2017,Boston,MA,Boston Calling Music Festival
27/5/2017,George,WA,Sasquatch! Music Festival
27/5/2017,Detroit,MI,Movement Detroit
28/5/2017,Cumberland,MD,DelFest
28/5/2017,Liverpool,UK,Liverpool Sound City
28/5/2017,Charleston,SC,Spoleto Festival
28/5/2017,Boston,MA,Boston Calling Music Festival
28/5/2017,George,WA,Sasquatch! Music Festival
28/5/2017,Detroit,MI,Movement Detroit
29/5/2017,Charleston,SC,Spoleto Festival
29/5/2017,Detroit,MI,Movement Detroit
30/5/2017,Charleston,SC,Spoleto Festival
31/5/2017,Charleston,SC,Spoleto Festival
31/5/2017,New York,NY,BookExpo America
1/6/17,Charleston,SC,Spoleto Festival
1/6/17,New York,NY,BookExpo America
2/6/17,Charleston,SC,Spoleto Festival
2/6/17,New York,NY,BookExpo America
2/6/17,Cincinnati,OH,Bunbury Music Festival
2/6/17,Augusta,NJ,Michael Arnone‰Ûªs Crawfish Fest
2/6/17,Culver City,CA,Newport Beach Jazz Festival
2/6/17,New York,NY,The Governors Ball Music Festival
3/6/17,Charleston,SC,Spoleto Festival
3/6/17,Cincinnati,OH,Bunbury Music Festival
3/6/17,Augusta,NJ,Michael Arnone‰Ûªs Crawfish Fest
3/6/17,Culver City,CA,Newport Beach Jazz Festival
3/6/17,New York,NY,The Governors Ball Music Festival
3/6/17,Philadelphia,PA,Roots Picnic
4/6/17,Charleston,SC,Spoleto Festival
4/6/17,Cincinnati,OH,Bunbury Music Festival
4/6/17,Augusta,NJ,Michael Arnone‰Ûªs Crawfish Fest
4/6/17,Culver City,CA,Newport Beach Jazz Festival
4/6/17,New York,NY,The Governors Ball Music Festival
4/6/17,New York,NY,Drama Desk Awards
5/6/17,Charleston,SC,Spoleto Festival
5/6/17,New York,NY,A2IM Indie Week
5/6/17,New York,NY,Reeperbahn Festival New York Edition
6/6/17,Charleston,SC,Spoleto Festival
6/6/17,New York,NY,A2IM Indie Week
6/6/17,New York,NY,Reeperbahn Festival New York Edition
6/6/17,Beverly Hills,CA,Gracie Awards Gala
7/6/17,Charleston,SC,Spoleto Festival
7/6/17,New York,NY,A2IM Indie Week
7/6/17,New York,NY,Reeperbahn Festival New York Edition
7/6/17,Brooklyn,NY,Northside Festival
7/6/17,Brooklyn,NY,Celebrate Brooklyn! Opening Night Concert & Gala
7/6/17,Nashville,TN,CMT Music Awards
7/6/17,Nashville,TN,NASH Country Daily Annual Kick Off Party
8/6/17,Charleston,SC,Spoleto Festival
8/6/17,New York,NY,A2IM Indie Week
8/6/17,New York,NY,Reeperbahn Festival New York Edition
8/6/17,Brooklyn,NY,Northside Festival
8/6/17,Manchester,TN,Bonnaroo Music & Arts Festival
8/6/17,Nashville,TN,CMA Music Festival
8/6/17,Eau Claire,WI,Blue Ox Festival
8/6/17,New York,NY,A2IM‰Ûªs LIBERA Awards
9/6/17,Charleston,SC,Spoleto Festival
9/6/17,Brooklyn,NY,Northside Festival
9/6/17,Manchester,TN,Bonnaroo Music & Arts Festival
9/6/17,Nashville,TN,CMA Music Festival
9/6/17,Eau Claire,WI,Blue Ox Festival
9/6/17,Bethel Woods,NY,Mysteryland
10/6/17,Charleston,SC,Spoleto Festival
10/6/17,Brooklyn,NY,Northside Festival
10/6/17,Manchester,TN,Bonnaroo Music & Arts Festival
10/6/17,Nashville,TN,CMA Music Festival
10/6/17,Eau Claire,WI,Blue Ox Festival
10/6/17,Bethel Woods,NY,Mysteryland
10/6/17,Hollywood,CA,Playboy Jazz Festival
10/6/17,Los Angeles,CA,Producers Guild of America‰Ûªs Produced By LA Conference
10/6/17,Elmont,NY,Belmont Stakes
10/6/17,Milwaukee,WI,Summerfest Rock ‰Û÷N Sole Run
11/6/17,Charleston,SC,Spoleto Festival
11/6/17,Brooklyn,NY,Northside Festival
11/6/17,Manchester,TN,Bonnaroo Music & Arts Festival
11/6/17,Nashville,TN,CMA Music Festival
11/6/17,Bethel Woods,NY,Mysteryland
11/6/17,Hollywood,CA,Playboy Jazz Festival
11/6/17,Los Angeles,CA,Producers Guild of America‰Ûªs Produced By LA Conference
11/6/17,New York,NY,The Tony Awards
12/6/17,Bethel Woods,NY,Mysteryland
12/6/17,Erin,WI,US Open (Golf)
12/6/17,Nashville,TN,IMMERSE Conference
12/6/17,New York,NY,SyncSummit New York
13/6/2017,Erin,WI,US Open (Golf)
13/6/2017,Nashville,TN,IMMERSE Conference
13/6/2017,New York,NY,SyncSummit New York
13/6/2017,Los Angeles,CA,Electronic Entertainment Expo (E3)
13/6/2017,Beverly Hills,CA,Variety‰Ûªs Tune In! TV Summit
14/6/2017,Erin,WI,US Open (Golf)
14/6/2017,Nashville,TN,IMMERSE Conference
14/6/2017,Los Angeles,CA,Electronic Entertainment Expo (E3)
14/6/2017,New York,NY,UJA Federation of New York Music Visionary of the Year Award
15/6/2017,Erin,WI,US Open (Golf)
15/6/2017,Los Angeles,CA,Electronic Entertainment Expo (E3)
15/6/2017,Dover,DE,Firefly Music Festival
15/6/2017,Telluride,CO,Telluride Bluegrass Festival
15/6/2017,New York,NY,Songwriters Hall of Fame Induction Ceremony
16/6/2017,Erin,WI,US Open (Golf)
16/6/2017,Dover,DE,Firefly Music Festival
16/6/2017,Telluride,CO,Telluride Bluegrass Festival
16/6/2017,Las Vegas,NV,Electric Daisy Carnival
16/6/2017,Hunter,NY,Mountain Jam
16/6/2017,Eau Claire,WI,Eaux Claires Festival
17/6/2017,Erin,WI,US Open (Golf)
17/6/2017,Dover,DE,Firefly Music Festival
17/6/2017,Telluride,CO,Telluride Bluegrass Festival
17/6/2017,Las Vegas,NV,Electric Daisy Carnival
17/6/2017,Hunter,NY,Mountain Jam
17/6/2017,Eau Claire,WI,Eaux Claires Festival
17/6/2017,Hudson,NY,Clearwater‰Ûªs Great Hudson River Revival Croton on Hudson
18/6/2017,Erin,WI,US Open (Golf)
18/6/2017,Dover,DE,Firefly Music Festival
18/6/2017,Telluride,CO,Telluride Bluegrass Festival
18/6/2017,Las Vegas,NV,Electric Daisy Carnival
18/6/2017,Hunter,NY,Mountain Jam
18/6/2017,Hudson,NY,Clearwater‰Ûªs Great Hudson River Revival Croton on Hudson
